ID,N_VICTIMAS,AAAA,MM,DD,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Calle,COMUNA,pos x,pos y,VICTIMA,ACUSADO
2020-0027,1,2020,5,18,8,"DELLEPIANE, LUIS, TTE. GRAL. Y MONTIEL",AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.",8,-58.48267426,-34.68454456,PEATON,CARGAS
2020-0028,1,2020,5,19,10,"SCALABRINI ORTIZ, RAUL AV. Y WARNES AV.",AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",15,-58.44248936,-34.60221948,PEATON,PASAJEROS
2020-0029,1,2020,6,10,14,"PAZ, GRAL. AV. y ROFFO, ANGEL H., DR.",GRAL PAZ,"PAZ, GRAL. AV.",9,-58.52909134,-34.63886726,PEATON,PASAJEROS
2020-0030,1,2020,6,16,15,SAN MARTIN AV. 1550,AVENIDA,SAN MARTIN AV.,6,-58.45158942,-34.60646580,MOTO,MULTIPLE
2020-0031,1,2020,6,30,8,"GARZON, EUGENIO, GRAL. AV. y LARRAYA",AVENIDA,"GARZON, EUGENIO, GRAL. AV.",9,-58.49344309,-34.65788529,MOTO,CARGAS
2020-0032,1,2020,7,10,23,CORRIENTES AV. Y SERRANO,AVENIDA,CORRIENTES AV.,15,-58.44259166,-34.59635137,MOTO,AUTO
2020-0033,1,2020,7,19,6,"PAZ, GRAL. AV. Y DEL LIBERTADOR AV.",GRAL PAZ,"PAZ, GRAL. AV.",13,-58.46743471,-34.53476874,AUTO,OBJETO FIJO
2020-0034,1,2020,8,2,3,"MITRE, BARTOLOME Y ANCHORENA, TOMAS MANUEL DE, DR.",CALLE,"MITRE, BARTOLOME",3,-58.41178158,-34.60922259,PEATON,AUTO
2020-0035,1,2020,8,4,5,"AU 25 DE MAYO ALTURA PUMACAHUA Y RECUERO, CASIMIRO, TTE. CNEL.",AUTOPISTA,AUTOPISTA 25 DE MAYO,7,-58.45068621,-34.63638927,MOTO,PASAJEROS
2020-0036,1,2020,8,7,18,"SCALABRINI ORTIZ, RAUL AV. Y PARAGUAY",AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",14,-58.42016954,-34.58778790,PEATON,MOTO
2020-0037,1,2020,8,29,4,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y VARELA AV.",AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.43850413,-34.65554754,PEATON,AUTO
2020-0038,2,2020,8,30,4,"LAS HERAS GENERAL AV. Y DIAZ, CNEL. AV.",AVENIDA,LAS HERAS GENERAL AV.,14,-58.40617526,-34.58345898,AUTO,AUTO
2020-0039,1,2020,9,1,19,MURGUIONDO 2700,CALLE,MURGUIONDO,9,.,.,PEATON,CARGAS
2020-0040,1,2020,9,12,3,"CASTILLO, RAMON S., PRES. AV. Y CALLE 12",AVENIDA,"CASTILLO, RAMON S., PRES. AV.",2,-58.38526125,-34.57805810,AUTO,OBJETO FIJO
2020-0041,1,2020,9,28,1,"CURAPALIGUE Y PERON, EVA AV.",AVENIDA,CURAPALIGUE,7,-58.44750470,-34.63491705,MOTO,PASAJEROS
2020-0042,1,2020,9,29,17,"DIAZ, ANA Y SOLDADO DE LA FRONTERA AV.",AVENIDA,"DIAZ, ANA",8,-58.46745752,-34.68192648,PEATON,PASAJEROS
